t1,r1,p1,l1,t2,r2,p2,l2,t3,r3,p3,l3,t4,r4,p4,l4,t5,r5,p5,l5,t6,r6,p6,l6,op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,estado
110.872133,3,6,9,39.135361,2,7,10,266.613542,7,40,16,29.217923,1,4,10,22.917788,1,3,8,31.234943,1,7,10,0,1,1,1,1,1,1,1,1,1,1,1,63,499.99169,67,15.22933,R
69.197879,1,8,9,44.736807,1,3,10,48.27176,1,30,34,45.75388,1,12,13,74.850482,3,11,13,36.649831,1,6,14,0,1,0,0,0,0,1,1,0,1,1,1,93,319.46064,70,18.451519,R
39.633693,1,3,9,75.915953,2,5,10,83.833882,1,8,16,74.299904,1,4,14,52.93303,1,3,13,167.482971,4,4,10,0,1,1,0,0,1,1,1,1,1,1,1,72,494.099434,27,14.155609,R
53.566737,1,18,7,27.100036,1,12,10,172.433441,2,24,41,80.633383,2,5,18,40.250021,1,2,13,63.350041,2,5,12,1,1,0,0,0,0,1,1,0,0,1,1,101,437.333659,66,20.618452,R
30.026668,1,8,7,37.28482,1,7,10,126.531103,3,61,43,32.020766,1,10,10,35.624313,1,12,16,37.809206,1,10,17,1,1,0,1,0,0,1,1,0,1,0,0,103,299.296877,108,22.178768,R
67.070191,1,5,8,50.518951,1,5,10,102.170116,1,5,21,65.071847,1,5,16,65.937695,1,4,16,46.589293,1,4,12,0,1,0,0,0,0,1,1,0,0,0,1,83,397.358094,28,15.036221,R
166.917089,1,9,18,130.463441,1,7,11,171.089979,1,4,17,146.950875,1,3,16,82.240812,1,3,10,129.403786,1,2,12,0,0,0,0,0,0,1,1,0,0,1,1,84,827.065983,28,19.341607,R
21.820166,1,1,7,66.886457,2,9,10,117.612879,2,24,16,21.788132,1,2,10,19.908946,1,13,13,53.94884,2,9,10,1,1,1,1,0,1,1,1,1,1,1,1,66,301.96542,58,13.245231,R
113.256959,1,23,7,85.380853,1,10,10,66.289488,1,18,17,44.414698,1,10,11,38.685667,1,5,10,46.013308,1,7,10,1,1,0,0,0,1,1,1,0,1,1,1,65,394.040972,73,14.893385,R
40.50395,1,4,11,50.163122,1,8,10,78.579083,1,12,16,50.63228,1,5,10,50.312814,1,5,8,41.947259,1,10,10,0,1,1,1,1,1,1,1,1,1,1,1,65,312.138509,44,12.326218,R
56.627937,1,1,7,146.886654,2,3,10,454.584083,5,16,16,53.520558,1,2,10,110.713293,4,3,11,69.671415,1,3,12,1,1,1,1,0,0,1,1,1,1,1,1,66,892.00394,28,17.100026,R
50.514103,1,5,9,68.029764,1,9,10,146.992389,1,9,16,69.696176,1,8,13,60.296493,1,8,12,51.163967,1,5,10,0,1,1,0,0,1,1,1,1,1,1,1,70,446.692893,44,14.421173,R
43.607326,1,1,8,90.877832,1,9,18,57.826726,1,5,16,37.063719,1,1,10,32.385019,1,2,8,43.707156,1,3,11,0,0,1,1,1,0,1,0,1,1,1,1,71,305.467778,21,11.808611,R
63.47804,1,3,7,50.651627,1,2,10,114.873633,1,2,24,84.327707,1,6,14,69.756367,1,3,12,56.157553,1,12,12,1,1,0,0,0,0,1,1,0,1,1,1,79,439.244927,28,14.803003,R
195.467193,8,11,8,129.459647,3,5,10,119.164273,1,8,25,147.166747,2,16,27,66.838193,1,2,17,85.53962,2,6,10,0,1,0,0,0,1,1,1,0,0,0,1,97,743.635673,48,21.833528,R
76.568168,1,20,13,36.637978,1,10,10,70.004616,1,35,39,27.518431,1,11,16,21.85083,1,12,16,31.220446,1,12,18,0,1,0,0,0,0,1,1,0,0,0,0,112,263.800469,100,22.78016,R
76.108327,1,12,7,35.290321,1,7,10,180.716931,4,49,22,30.808317,1,10,17,24.676742,1,5,12,30.675005,1,8,18,1,1,0,0,0,0,1,1,0,0,1,0,86,378.275644,91,19.190353,R
34.94744,1,1,7,234.384876,3,8,11,95.727159,1,5,16,44.480365,1,3,10,49.83017,1,7,10,51.813249,1,6,10,1,0,1,1,0,1,1,1,1,1,1,1,64,511.183259,30,13.229536,R
42.179707,1,6,7,74.00588,1,11,11,405.53838,5,37,22,91.027053,1,9,17,131.79976,1,8,16,64.0995,1,14,16,1,0,0,0,0,0,1,1,0,0,0,0,89,808.65028,85,23.453213,R
114.06892,2,2,7,140.696761,2,7,10,236.837286,1,32,43,118.603201,5,22,12,64.895013,2,6,8,132.706575,3,28,12,1,1,0,0,1,0,1,1,0,1,1,1,92,807.807755,97,24.658387,R
74.296053,1,9,7,48.764065,1,10,10,105.244317,1,14,24,68.112973,2,16,10,31.214986,1,13,13,34.598138,1,11,11,1,1,0,1,0,0,1,1,0,1,1,1,75,362.230533,73,16.17987,R
51.243911,1,5,7,58.476026,2,4,10,82.340349,1,6,17,47.861006,1,4,10,62.392609,1,4,10,125.901772,1,8,16,1,1,0,1,0,0,1,1,0,1,1,0,70,428.215674,31,13.44634,A
184.835523,5,11,7,48.929506,1,5,10,307.742397,4,23,35,127.523329,3,9,16,90.359584,2,4,12,102.441947,2,9,23,1,1,0,0,0,0,1,1,0,0,1,0,103,861.832286,61,24.72655,A
28.972025,1,1,7,93.206196,2,4,14,156.920613,2,17,20,56.507572,1,9,10,37.087303,1,4,12,70.656054,1,3,14,1,0,0,1,0,0,1,1,0,1,1,1,77,443.349764,38,15.136662,A
26.340924,1,8,7,45.416849,1,10,12,97.082509,1,22,23,40.968647,1,15,17,27.540049,1,15,19,58.129346,1,15,21,1,0,0,0,0,0,1,1,0,0,0,0,99,295.478325,85,20.095272,A
188.401773,8,11,7,55.877113,1,2,12,109.6704,1,4,19,46.308593,1,2,10,123.87304,2,10,24,165.668527,6,25,10,1,0,0,1,0,1,1,1,0,1,0,1,82,689.799447,54,19.291616,A
32.866481,1,7,7,27.833283,1,5,10,63.433169,1,5,17,101.716419,1,18,21,61.23317,1,3,16,106.966324,2,19,14,1,1,0,0,0,0,1,1,0,0,0,1,85,394.048846,57,17.099903,A
