t1,r1,p1,l1,t2,r2,p2,l2,t3,r3,p3,l3,t4,r4,p4,l4,t5,r5,p5,l5,t6,r6,p6,l6,op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,estado
'\'(135.14993-inf)\'',5,28,7,'\'(41.257811-57.36167]\'',1,2,10,'\'(112.968721-159.869152]\'',1,5,16,'\'(55.248765-74.303022]\'',1,3,11,'\'(46.650883-58.860938]\'',1,3,10,'\'(64.248229-95.929302]\'',2,6,10,1,1,1,0,0,1,1,1,1,1,1,1,64,'\'(741.552114-inf)\'',47,'\'(15.967208-18.512556]\'',R
'\'(135.14993-inf)\'',3,5,7,'\'(115.960834-inf)\'',2,6,13,'\'(241.1566-inf)\'',2,16,43,'\'(112.254647-inf)\'',1,3,19,'\'(81.517634-inf)\'',1,4,17,'\'(64.248229-95.929302]\'',1,3,12,1,0,0,0,0,0,1,1,0,0,0,1,111,'\'(741.552114-inf)\'',37,'\'(21.845585-inf)\'',R
'\'(80.790919-135.14993]\'',4,8,8,'\'(115.960834-inf)\'',9,17,10,'\'(82.466974-112.968721]\'',1,3,17,'\'(55.248765-74.303022]\'',1,3,12,'\'(81.517634-inf)\'',1,8,14,'\'(38.860268-48.843097]\'',1,2,11,0,1,0,0,0,0,1,1,0,1,1,1,72,'\'(573.253523-741.552114]\'',41,'\'(15.967208-18.512556]\'',R
'\'(-inf-37.138995]\'',1,1,7,'\'(76.549137-115.960834]\'',1,5,18,'\'(112.968721-159.869152]\'',1,3,20,'\'(55.248765-74.303022]\'',1,2,11,'\'(81.517634-inf)\'',3,3,12,'\'(64.248229-95.929302]\'',1,3,14,1,0,0,0,0,0,1,0,0,1,1,1,82,'\'(459.963402-573.253523]\'',17,'\'(13.465411-15.967208]\'',R
'\'(-inf-37.138995]\'',1,2,7,'\'(-inf-41.257811]\'',1,5,10,'\'(112.968721-159.869152]\'',3,29,19,'\'(-inf-41.626247]\'',1,6,10,'\'(-inf-35.369728]\'',1,4,8,'\'(-inf-38.860268]\'',1,5,10,1,1,0,1,1,1,1,1,0,1,1,1,64,'\'(-inf-366.642526]\'',51,'\'(-inf-13.465411]\'',R
'\'(80.790919-135.14993]\'',1,4,9,'\'(76.549137-115.960834]\'',1,4,10,'\'(82.466974-112.968721]\'',1,6,16,'\'(41.626247-55.248765]\'',1,2,10,'\'(35.369728-46.650883]\'',1,2,8,'\'(95.929302-inf)\'',2,5,10,0,1,1,1,1,1,1,1,1,1,1,1,63,'\'(459.963402-573.253523]\'',23,'\'(-inf-13.465411]\'',R
'\'(55.369498-80.790919]\'',1,1,8,'\'(115.960834-inf)\'',2,11,10,'\'(241.1566-inf)\'',3,24,16,'\'(74.303022-112.254647]\'',1,7,14,'\'(58.860938-81.517634]\'',1,3,8,'\'(48.843097-64.248229]\'',1,4,10,0,1,1,0,1,1,1,1,1,1,1,1,66,'\'(741.552114-inf)\'',50,'\'(15.967208-18.512556]\'',R
'\'(80.790919-135.14993]\'',13,35,7,'\'(76.549137-115.960834]\'',2,3,10,'\'(241.1566-inf)\'',4,8,24,'\'(55.248765-74.303022]\'',1,1,10,'\'(46.650883-58.860938]\'',1,1,12,'\'(95.929302-inf)\'',2,3,10,1,1,0,1,0,1,1,1,0,1,1,1,73,'\'(741.552114-inf)\'',51,'\'(18.512556-21.845585]\'',R
'\'(80.790919-135.14993]\'',3,6,9,'\'(-inf-41.257811]\'',2,7,10,'\'(241.1566-inf)\'',7,40,16,'\'(-inf-41.626247]\'',1,4,10,'\'(-inf-35.369728]\'',1,3,8,'\'(-inf-38.860268]\'',1,7,10,0,1,1,1,1,1,1,1,1,1,1,1,63,'\'(459.963402-573.253523]\'',67,'\'(13.465411-15.967208]\'',R
'\'(55.369498-80.790919]\'',1,8,9,'\'(41.257811-57.36167]\'',1,3,10,'\'(-inf-82.466974]\'',1,30,34,'\'(41.626247-55.248765]\'',1,12,13,'\'(58.860938-81.517634]\'',3,11,13,'\'(-inf-38.860268]\'',1,6,14,0,1,0,0,0,0,1,1,0,1,1,1,93,'\'(-inf-366.642526]\'',70,'\'(15.967208-18.512556]\'',R
'\'(37.138995-55.369498]\'',1,3,9,'\'(57.36167-76.549137]\'',2,5,10,'\'(82.466974-112.968721]\'',1,8,16,'\'(55.248765-74.303022]\'',1,4,14,'\'(46.650883-58.860938]\'',1,3,13,'\'(95.929302-inf)\'',4,4,10,0,1,1,0,0,1,1,1,1,1,1,1,72,'\'(459.963402-573.253523]\'',27,'\'(13.465411-15.967208]\'',R
'\'(37.138995-55.369498]\'',1,18,7,'\'(-inf-41.257811]\'',1,12,10,'\'(159.869152-241.1566]\'',2,24,41,'\'(74.303022-112.254647]\'',2,5,18,'\'(35.369728-46.650883]\'',1,2,13,'\'(48.843097-64.248229]\'',2,5,12,1,1,0,0,0,0,1,1,0,0,1,1,101,'\'(366.642526-459.963402]\'',66,'\'(18.512556-21.845585]\'',R
'\'(-inf-37.138995]\'',1,8,7,'\'(-inf-41.257811]\'',1,7,10,'\'(112.968721-159.869152]\'',3,61,43,'\'(-inf-41.626247]\'',1,10,10,'\'(35.369728-46.650883]\'',1,12,16,'\'(-inf-38.860268]\'',1,10,17,1,1,0,1,0,0,1,1,0,1,0,0,103,'\'(-inf-366.642526]\'',108,'\'(21.845585-inf)\'',R
'\'(55.369498-80.790919]\'',1,5,8,'\'(41.257811-57.36167]\'',1,5,10,'\'(82.466974-112.968721]\'',1,5,21,'\'(55.248765-74.303022]\'',1,5,16,'\'(58.860938-81.517634]\'',1,4,16,'\'(38.860268-48.843097]\'',1,4,12,0,1,0,0,0,0,1,1,0,0,0,1,83,'\'(366.642526-459.963402]\'',28,'\'(13.465411-15.967208]\'',R
'\'(135.14993-inf)\'',1,9,18,'\'(115.960834-inf)\'',1,7,11,'\'(159.869152-241.1566]\'',1,4,17,'\'(112.254647-inf)\'',1,3,16,'\'(81.517634-inf)\'',1,3,10,'\'(95.929302-inf)\'',1,2,12,0,0,0,0,0,0,1,1,0,0,1,1,84,'\'(741.552114-inf)\'',28,'\'(18.512556-21.845585]\'',R
'\'(-inf-37.138995]\'',1,1,7,'\'(57.36167-76.549137]\'',2,9,10,'\'(112.968721-159.869152]\'',2,24,16,'\'(-inf-41.626247]\'',1,2,10,'\'(-inf-35.369728]\'',1,13,13,'\'(48.843097-64.248229]\'',2,9,10,1,1,1,1,0,1,1,1,1,1,1,1,66,'\'(-inf-366.642526]\'',58,'\'(-inf-13.465411]\'',R
'\'(80.790919-135.14993]\'',1,23,7,'\'(76.549137-115.960834]\'',1,10,10,'\'(-inf-82.466974]\'',1,18,17,'\'(41.626247-55.248765]\'',1,10,11,'\'(35.369728-46.650883]\'',1,5,10,'\'(38.860268-48.843097]\'',1,7,10,1,1,0,0,0,1,1,1,0,1,1,1,65,'\'(366.642526-459.963402]\'',73,'\'(13.465411-15.967208]\'',R
'\'(37.138995-55.369498]\'',1,4,11,'\'(41.257811-57.36167]\'',1,8,10,'\'(-inf-82.466974]\'',1,12,16,'\'(41.626247-55.248765]\'',1,5,10,'\'(46.650883-58.860938]\'',1,5,8,'\'(38.860268-48.843097]\'',1,10,10,0,1,1,1,1,1,1,1,1,1,1,1,65,'\'(-inf-366.642526]\'',44,'\'(-inf-13.465411]\'',R
'\'(55.369498-80.790919]\'',1,1,7,'\'(115.960834-inf)\'',2,3,10,'\'(241.1566-inf)\'',5,16,16,'\'(41.626247-55.248765]\'',1,2,10,'\'(81.517634-inf)\'',4,3,11,'\'(64.248229-95.929302]\'',1,3,12,1,1,1,1,0,0,1,1,1,1,1,1,66,'\'(741.552114-inf)\'',28,'\'(15.967208-18.512556]\'',R
'\'(37.138995-55.369498]\'',1,5,9,'\'(57.36167-76.549137]\'',1,9,10,'\'(112.968721-159.869152]\'',1,9,16,'\'(55.248765-74.303022]\'',1,8,13,'\'(58.860938-81.517634]\'',1,8,12,'\'(48.843097-64.248229]\'',1,5,10,0,1,1,0,0,1,1,1,1,1,1,1,70,'\'(366.642526-459.963402]\'',44,'\'(13.465411-15.967208]\'',R
'\'(37.138995-55.369498]\'',1,1,8,'\'(76.549137-115.960834]\'',1,9,18,'\'(-inf-82.466974]\'',1,5,16,'\'(-inf-41.626247]\'',1,1,10,'\'(-inf-35.369728]\'',1,2,8,'\'(38.860268-48.843097]\'',1,3,11,0,0,1,1,1,0,1,0,1,1,1,1,71,'\'(-inf-366.642526]\'',21,'\'(-inf-13.465411]\'',R
'\'(55.369498-80.790919]\'',1,3,7,'\'(41.257811-57.36167]\'',1,2,10,'\'(112.968721-159.869152]\'',1,2,24,'\'(74.303022-112.254647]\'',1,6,14,'\'(58.860938-81.517634]\'',1,3,12,'\'(48.843097-64.248229]\'',1,12,12,1,1,0,0,0,0,1,1,0,1,1,1,79,'\'(366.642526-459.963402]\'',28,'\'(13.465411-15.967208]\'',R
'\'(135.14993-inf)\'',8,11,8,'\'(115.960834-inf)\'',3,5,10,'\'(112.968721-159.869152]\'',1,8,25,'\'(112.254647-inf)\'',2,16,27,'\'(58.860938-81.517634]\'',1,2,17,'\'(64.248229-95.929302]\'',2,6,10,0,1,0,0,0,1,1,1,0,0,0,1,97,'\'(741.552114-inf)\'',48,'\'(18.512556-21.845585]\'',R
'\'(55.369498-80.790919]\'',1,20,13,'\'(-inf-41.257811]\'',1,10,10,'\'(-inf-82.466974]\'',1,35,39,'\'(-inf-41.626247]\'',1,11,16,'\'(-inf-35.369728]\'',1,12,16,'\'(-inf-38.860268]\'',1,12,18,0,1,0,0,0,0,1,1,0,0,0,0,112,'\'(-inf-366.642526]\'',100,'\'(21.845585-inf)\'',R
'\'(55.369498-80.790919]\'',1,12,7,'\'(-inf-41.257811]\'',1,7,10,'\'(159.869152-241.1566]\'',4,49,22,'\'(-inf-41.626247]\'',1,10,17,'\'(-inf-35.369728]\'',1,5,12,'\'(-inf-38.860268]\'',1,8,18,1,1,0,0,0,0,1,1,0,0,1,0,86,'\'(366.642526-459.963402]\'',91,'\'(18.512556-21.845585]\'',R
'\'(-inf-37.138995]\'',1,1,7,'\'(115.960834-inf)\'',3,8,11,'\'(82.466974-112.968721]\'',1,5,16,'\'(41.626247-55.248765]\'',1,3,10,'\'(46.650883-58.860938]\'',1,7,10,'\'(48.843097-64.248229]\'',1,6,10,1,0,1,1,0,1,1,1,1,1,1,1,64,'\'(459.963402-573.253523]\'',30,'\'(-inf-13.465411]\'',R
'\'(37.138995-55.369498]\'',1,6,7,'\'(57.36167-76.549137]\'',1,11,11,'\'(241.1566-inf)\'',5,37,22,'\'(74.303022-112.254647]\'',1,9,17,'\'(81.517634-inf)\'',1,8,16,'\'(48.843097-64.248229]\'',1,14,16,1,0,0,0,0,0,1,1,0,0,0,0,89,'\'(741.552114-inf)\'',85,'\'(21.845585-inf)\'',R
'\'(80.790919-135.14993]\'',2,2,7,'\'(115.960834-inf)\'',2,7,10,'\'(159.869152-241.1566]\'',1,32,43,'\'(112.254647-inf)\'',5,22,12,'\'(58.860938-81.517634]\'',2,6,8,'\'(95.929302-inf)\'',3,28,12,1,1,0,0,1,0,1,1,0,1,1,1,92,'\'(741.552114-inf)\'',97,'\'(21.845585-inf)\'',R
'\'(55.369498-80.790919]\'',1,9,7,'\'(41.257811-57.36167]\'',1,10,10,'\'(82.466974-112.968721]\'',1,14,24,'\'(55.248765-74.303022]\'',2,16,10,'\'(-inf-35.369728]\'',1,13,13,'\'(-inf-38.860268]\'',1,11,11,1,1,0,1,0,0,1,1,0,1,1,1,75,'\'(-inf-366.642526]\'',73,'\'(15.967208-18.512556]\'',R
'\'(37.138995-55.369498]\'',1,5,7,'\'(57.36167-76.549137]\'',2,4,10,'\'(-inf-82.466974]\'',1,6,17,'\'(41.626247-55.248765]\'',1,4,10,'\'(58.860938-81.517634]\'',1,4,10,'\'(95.929302-inf)\'',1,8,16,1,1,0,1,0,0,1,1,0,1,1,0,70,'\'(366.642526-459.963402]\'',31,'\'(-inf-13.465411]\'',A
'\'(135.14993-inf)\'',5,11,7,'\'(41.257811-57.36167]\'',1,5,10,'\'(241.1566-inf)\'',4,23,35,'\'(112.254647-inf)\'',3,9,16,'\'(81.517634-inf)\'',2,4,12,'\'(95.929302-inf)\'',2,9,23,1,1,0,0,0,0,1,1,0,0,1,0,103,'\'(741.552114-inf)\'',61,'\'(21.845585-inf)\'',A
'\'(-inf-37.138995]\'',1,1,7,'\'(76.549137-115.960834]\'',2,4,14,'\'(112.968721-159.869152]\'',2,17,20,'\'(55.248765-74.303022]\'',1,9,10,'\'(35.369728-46.650883]\'',1,4,12,'\'(64.248229-95.929302]\'',1,3,14,1,0,0,1,0,0,1,1,0,1,1,1,77,'\'(366.642526-459.963402]\'',38,'\'(13.465411-15.967208]\'',A
'\'(-inf-37.138995]\'',1,8,7,'\'(41.257811-57.36167]\'',1,10,12,'\'(82.466974-112.968721]\'',1,22,23,'\'(-inf-41.626247]\'',1,15,17,'\'(-inf-35.369728]\'',1,15,19,'\'(48.843097-64.248229]\'',1,15,21,1,0,0,0,0,0,1,1,0,0,0,0,99,'\'(-inf-366.642526]\'',85,'\'(18.512556-21.845585]\'',A
