;source;target;weight
0;lt;sv4;True
1;lt;sv5;True
2;lt;sv6;True
3;op2;op1;True
4;op2;sv2;True
5;op4;op1;True
6;op4;op5;True
7;op4;sv3;True
8;op5;op2;True
9;op5;sv3;True
10;op5;score_a;True
11;op6;op2;True
12;op6;op5;True
13;op6;sv2;True
14;sv2;op1;True
15;sv2;sv1;True
16;sv3;op3;True
17;sv3;sv2;True
18;sv4;op1;True
19;sv4;op4;True
20;sv4;op6;True
21;sv4;sv3;True
22;sv5;op2;True
23;sv5;op5;True
24;sv5;sv3;True
25;sv5;sv4;True
26;sv5;sv6;True
27;sv5;estado;True
28;sv6;op1;True
29;sv6;op2;True
30;sv6;op6;True
31;sv6;score_a;True
32;sv6;score_d;True
33;sv6;programa;True
34;score;score_p;True
35;score_a;op1;True
36;score_a;sv3;True
37;score_a;score;True
38;score_a;score_p;True
39;score_a;score_d;True
40;score_p;op1;True
41;score_p;op2;True
42;score_d;score_s;True
43;score_s;op1;True
44;score_s;op2;True
45;sol1;estado;True
46;estado;op1;True
47;estado;op5;True
48;estado;op6;True
49;estado;sv1;True
50;estado;sv4;True
51;estado;sv6;True
52;estado;score_a;True
53;estado;programa;True
