;source;target;weight
0;lt;sv4;True
1;lt;sv5;True
2;lt;sv6;True
3;op2;op1;True
4;op2;sv2;True
5;op4;op1;True
6;op4;score_a;True
7;op5;op1;True
8;op5;op4;True
9;op5;op6;True
10;op5;sv3;True
11;op6;op2;True
12;op6;sv2;True
13;sv1;op1;True
14;sv2;op1;True
15;sv2;sv1;True
16;sv3;op3;True
17;sv4;op1;True
18;sv4;op4;True
19;sv4;op5;True
20;sv4;sv3;True
21;sv5;op5;True
22;sv5;sv3;True
23;sv5;sv6;True
24;sv5;estado;True
25;sv6;op2;True
26;sv6;op6;True
27;sv6;score_a;True
28;sv6;programa;True
29;score;score_p;True
30;score_a;op1;True
31;score_a;score;True
32;score_a;score_p;True
33;score_a;score_d;True
34;score_p;op1;True
35;score_p;op2;True
36;score_d;op2;True
37;score_d;score_s;True
38;sol1;estado;True
39;estado;op1;True
40;estado;op2;True
41;estado;op5;True
42;estado;op6;True
43;estado;sv1;True
44;estado;sv4;True
45;estado;score_a;True
46;estado;programa;True
