;source;target;weight
0;lt;sv3;True
1;lt;sv4;True
2;lt;sv5;True
3;lt;sv6;True
4;op2;op1;True
5;op2;op4;True
6;op3;op1;True
7;op3;op2;True
8;op3;op5;True
9;op3;estado;True
10;op4;op1;True
11;op4;op5;True
12;op5;op1;True
13;op6;op2;True
14;op6;op5;True
15;op6;sv2;True
16;sv1;op2;True
17;sv1;sv2;True
18;sv1;score_d;True
19;sv2;op1;True
20;sv2;op2;True
21;sv2;sv4;True
22;sv2;score_a;True
23;sv3;op3;True
24;sv4;op4;True
25;sv5;op1;True
26;sv5;op5;True
27;sv5;sv4;True
28;sv6;op1;True
29;sv6;op6;True
30;sv6;sv1;True
31;sv6;sv2;True
32;sv6;sv5;True
33;sv6;programa;True
34;score;score_p;True
35;score_a;op1;True
36;score_a;score;True
37;score_a;score_p;True
38;score_a;score_d;True
39;score_p;op2;True
40;score_d;op1;True
41;score_d;score_s;True
42;programa;score_a;True
43;sol1;estado;True
44;estado;op1;True
45;estado;op2;True
46;estado;op5;True
47;estado;op6;True
48;estado;sv2;True
49;estado;sv4;True
50;estado;sv6;True
51;estado;score_a;True
52;estado;programa;True
