;source;target;weight
0;lt;sv3;True
1;lt;sv4;True
2;lt;sv5;True
3;lt;sv6;True
4;op2;op1;True
5;op2;op6;True
6;op3;estado;True
7;op4;op2;True
8;op4;op5;True
9;op5;op1;True
10;op6;op5;True
11;sv1;sv2;True
12;sv1;score_d;True
13;sv2;op2;True
14;sv2;sv4;True
15;sv2;score_a;True
16;sv3;op1;True
17;sv3;op2;True
18;sv3;op3;True
19;sv3;op4;True
20;sv3;op5;True
21;sv3;sv2;True
22;sv4;op4;True
23;sv5;op1;True
24;sv5;op2;True
25;sv5;op4;True
26;sv6;op1;True
27;sv6;op2;True
28;sv6;op6;True
29;sv6;sv1;True
30;sv6;sv5;True
31;sv6;programa;True
32;score;score_p;True
33;score_a;op1;True
34;score_a;score;True
35;score_a;score_p;True
36;score_a;score_d;True
37;score_p;op2;True
38;score_d;op1;True
39;score_d;score_s;True
40;score_s;op5;True
41;programa;score_a;True
42;sol1;estado;True
43;estado;op1;True
44;estado;op2;True
45;estado;op4;True
46;estado;op5;True
47;estado;op6;True
48;estado;sv2;True
49;estado;sv4;True
50;estado;sv6;True
51;estado;score_a;True
52;estado;programa;True
