;source;target;weight
0;lt;sv4;True
1;lt;sv5;True
2;lt;sv6;True
3;op1;op5;True
4;op1;sv3;True
5;op4;op1;True
6;op4;op5;True
7;op4;score_s;True
8;op5;sv3;True
9;op6;op5;True
10;op6;sv2;True
11;sv1;op1;True
12;sv1;sv2;True
13;sv2;op2;True
14;sv2;sv4;True
15;sv2;score_s;True
16;sv3;op3;True
17;sv4;op4;True
18;sv5;game_score;True
19;sv5;op5;True
20;sv5;sv3;True
21;sv6;op2;True
22;sv6;op6;True
23;sv6;sv1;True
24;sv6;score;True
25;sv6;score_s;True
26;sv6;programa;True
27;score;score_a;True
28;score;score_p;True
29;score_a;op1;True
30;score_a;score_p;True
31;score_p;op1;True
32;score_p;sv3;True
33;score_p;estado;True
34;score_d;score;True
35;score_s;op1;True
36;score_s;score;True
37;score_s;score_d;True
38;sol1;estado;True
39;estado;op1;True
40;estado;op5;True
41;estado;sv3;True
42;estado;sv5;True
43;estado;programa;True
