op1;op2;op3;op4;op5;op6;sv1;sv2;sv3;sv4;sv5;sv6;lt;tt;pt;game_score;score;score_a;score_p;score_d;score_s;programa;sol1;estado
0;0;1;1;1;0;1;0;1;1;1;1;71;305.467778;21;11.808611;5;2;3;2;1;'INGENIERIA EN COMPUTACION E INFORMATICA';5.7;R
1;1;0;0;0;0;1;1;0;1;1;1;79;439.244927;28;14.803003;11;7;5;4;3;'INGENIERIA EN COMPUTACION E INFORMATICA';4.4;R
0;1;0;0;0;1;1;1;0;0;0;1;97;743.635673;48;21.833528;8;5;4;2;2;'INGENIERIA INDUSTRIAL';5.4;R
0;1;0;0;0;0;1;1;0;0;0;0;112;263.800469;100;22.78016;5;3;1;2;2;'INGENIERIA CIVIL INFORMATICA';6.1;R
1;1;0;0;0;0;1;1;0;0;1;0;86;378.275644;91;19.190353;6;4;2;2;3;'INGENIERIA EN COMPUTACION E INFORMATICA';4.4;R
1;0;1;1;0;1;1;1;1;1;1;1;64;511.183259;30;13.229536;4;3;1;1;1;'INGENIERIA CIVIL INDUSTRIAL';6.4;R
1;0;0;0;0;0;1;1;0;0;0;0;89;808.65028;85;23.453213;5;4;1;3;3;'INGENIERIA CIVIL INFORMATICA';4;R
1;1;0;0;1;0;1;1;0;1;1;1;92;807.807755;97;24.658387;6;4;2;3;3;'INGENIERIA CIVIL INFORMATICA';5.8;R
1;1;0;1;0;0;1;1;0;1;1;1;75;362.230533;73;16.17987;5;3;2;1;2;'INGENIERIA EN COMPUTACION E INFORMATICA';4.9;R
1;1;0;1;0;0;1;1;0;1;1;0;70;428.215674;31;13.44634;8;5;4;2;2;'INGENIERIA EN COMPUTACION E INFORMATICA';4.6;A
1;1;0;0;0;0;1;1;0;0;1;0;103;861.832286;61;24.72655;6;3;3;2;2;'INGENIERIA INDUSTRIAL';3.6;A
1;0;0;1;0;0;1;1;0;1;1;1;77;443.349764;38;15.136662;3;2;0;2;3;'INGENIERIA CIVIL INDUSTRIAL';3;A
1;0;0;0;0;0;1;1;0;0;0;0;99;295.478325;85;20.095272;4;2;1;2;2;'INGENIERIA CIVIL INDUSTRIAL';5.5;A
1;0;0;1;0;1;1;1;0;1;0;1;82;689.799447;54;19.291616;8;5;4;3;2;'INGENIERIA CIVIL INDUSTRIAL';6.6;A
1;1;0;0;0;0;1;1;0;0;0;1;85;394.048846;57;17.099903;6;4;3;2;2;'INGENIERIA CIVIL INDUSTRIAL';5.3;A
0;1;0;1;0;1;1;1;0;1;1;1;66;292.1912;60;13.273471;6;4;3;2;2;'INGENIERIA CIVIL INFORMATICA';2.2;A
1;1;1;1;1;1;1;1;1;1;1;1;61;343.749404;18;10.400743;9;6;3;3;3;'INGENIERIA CIVIL INFORMATICA';6.6;A
0;0;0;0;0;0;1;1;0;1;0;1;101;960.024411;135;29.889511;3;2;1;1;1;'INGENIERIA EN COMPUTACION E INFORMATICA';3.6;A
