op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,score,score_a,score_p,score_d,score_s,programa,sol1,estado
1,1,0,0,0,0,1,1,0,0,1,1,101,'\'(366.642527-459.963403]\'',66,'\'(18.512556-21.845585]\'',11,7,5,4,3,'INGENIERIA EN COMPUTACION E INFORMATICA',6,R
1,1,0,1,0,0,1,1,0,1,0,0,103,'\'(-inf-366.642527]\'',108,'\'(21.845585-inf)\'',4,3,1,1,1,'INGENIERIA CIVIL INDUSTRIAL',6,R
0,1,0,0,0,0,1,1,0,0,0,1,83,'\'(366.642527-459.963403]\'',28,'\'(13.465412-15.967208]\'',8,6,3,3,3,'INGENIERIA EN COMPUTACION E INFORMATICA',4.4,R
0,0,0,0,0,0,1,1,0,0,1,1,84,'\'(741.552114-inf)\'',28,'\'(18.512556-21.845585]\'',4,3,0,3,2,'INGENIERIA CIVIL INDUSTRIAL',4.5,R
1,1,1,1,0,1,1,1,1,1,1,1,66,'\'(-inf-366.642527]\'',58,'\'(-inf-13.465412]\'',10,7,4,3,3,'INGENIERIA CIVIL INFORMATICA',5.1,R
1,1,0,0,0,1,1,1,0,1,1,1,65,'\'(366.642527-459.963403]\'',73,'\'(13.465412-15.967208]\'',6,3,3,2,2,'INGENIERIA EN COMPUTACION E INFORMATICA',4.8,R
0,1,1,1,1,1,1,1,1,1,1,1,65,'\'(-inf-366.642527]\'',44,'\'(-inf-13.465412]\'',6,3,3,2,2,'INGENIERIA EN COMPUTACION E INFORMATICA',4.8,R
1,1,1,1,0,0,1,1,1,1,1,1,66,'\'(741.552114-inf)\'',28,'\'(15.967208-18.512556]\'',4,3,1,1,2,'INGENIERIA EN COMPUTACION E INFORMATICA',6.3,R
0,1,1,0,0,1,1,1,1,1,1,1,70,'\'(366.642527-459.963403]\'',44,'\'(13.465412-15.967208]\'',9,5,5,3,3,'INGENIERIA CIVIL INDUSTRIAL',5.6,R
0,0,1,1,1,0,1,0,1,1,1,1,71,'\'(-inf-366.642527]\'',21,'\'(-inf-13.465412]\'',5,2,3,2,1,'INGENIERIA EN COMPUTACION E INFORMATICA',5.7,R
1,1,0,0,0,0,1,1,0,1,1,1,79,'\'(366.642527-459.963403]\'',28,'\'(13.465412-15.967208]\'',11,7,5,4,3,'INGENIERIA EN COMPUTACION E INFORMATICA',4.4,R
0,1,0,0,0,1,1,1,0,0,0,1,97,'\'(741.552114-inf)\'',48,'\'(18.512556-21.845585]\'',8,5,4,2,2,'INGENIERIA INDUSTRIAL',5.4,R
0,1,0,0,0,0,1,1,0,0,0,0,112,'\'(-inf-366.642527]\'',100,'\'(21.845585-inf)\'',5,3,1,2,2,'INGENIERIA CIVIL INFORMATICA',6.1,R
1,1,0,0,0,0,1,1,0,0,1,0,86,'\'(366.642527-459.963403]\'',91,'\'(18.512556-21.845585]\'',6,4,2,2,3,'INGENIERIA EN COMPUTACION E INFORMATICA',4.4,R
1,0,1,1,0,1,1,1,1,1,1,1,64,'\'(459.963403-573.253522]\'',30,'\'(-inf-13.465412]\'',4,3,1,1,1,'INGENIERIA CIVIL INDUSTRIAL',6.4,R
1,0,0,0,0,0,1,1,0,0,0,0,89,'\'(741.552114-inf)\'',85,'\'(21.845585-inf)\'',5,4,1,3,3,'INGENIERIA CIVIL INFORMATICA',4,R
1,1,0,0,1,0,1,1,0,1,1,1,92,'\'(741.552114-inf)\'',97,'\'(21.845585-inf)\'',6,4,2,3,3,'INGENIERIA CIVIL INFORMATICA',5.8,R
1,1,0,1,0,0,1,1,0,1,1,1,75,'\'(-inf-366.642527]\'',73,'\'(15.967208-18.512556]\'',5,3,2,1,2,'INGENIERIA EN COMPUTACION E INFORMATICA',4.9,R
1,1,0,1,0,0,1,1,0,1,1,0,70,'\'(366.642527-459.963403]\'',31,'\'(-inf-13.465412]\'',8,5,4,2,2,'INGENIERIA EN COMPUTACION E INFORMATICA',4.6,A
1,1,0,0,0,0,1,1,0,0,1,0,103,'\'(741.552114-inf)\'',61,'\'(21.845585-inf)\'',6,3,3,2,2,'INGENIERIA INDUSTRIAL',3.6,A
