rut;usuario;correo;nombre;profesor;i1;f1;t1;r1;p1;s1;l1;i2;f2;t2;r2;p2;s2;l2;i3;f3;t3;r3;p3;s3;l3;i4;f4;t4;r4;p4;s4;l4;i5;f5;t5;r5;p5;s5;l5;i6;f6;t6;r6;p6;s6;l6;op1;op2;op3;op4;op5;op6;sv1;sv2;sv3;sv4;sv5;sv6;lt;tt;pt;game_score;score;score_a;score_p;score_d;score_s;programa;sol1;sol2;sol3;sol4;tarea1;tarea2;controles;np;examen;final;estado
354;*;*;*;*;10.17969233;90.37868633;80.198994;1;6;[0 3 3 3 1 ] [1 2 1 2 0 1 ];11;90.39547433;148.4524907;58.05701637;1;7;[2 3 3 3 3 3 0 ] [1 1 1 ];10;148.4692337;287.607102;139.1378683;1;11;[3 0 0 0 0 0 2 3 2 3 1 1 ] [3 0 0 2 0 1 2 2 2 1 ];22;287.623767;346.779553;59.155786;1;2;[2 2 0 0 2 2 3 ] [3 3 3 3 3 ];12;346.796161;481.2698323;134.4736713;3;13;[1 2 2 2 2 2 2 2 2 ] [0 2 1 ];12;481.2865123;546.725686;65.4391737;1;8;[2 2 0 0 2 2 0 0 3 ] [1 1 3 ];12;0;1;0;0;0;0;1;1;0;1;1;1;79;536.4625097;47;16.90520452;8;4;4;2;3;INGENIERIA EN COMPUTACION E INFORMATICA;6;4.9;4.6;5.2;6;1;7;4.43;3.6;4.2;A
448;*;*;*;*;19.46581467;432.0820213;412.6162066;12;9;[3 3 3 0 0 3 3 ] [];7;432.0986943;674.1209097;242.0222154;4;17;[2 3 3 3 3 3 ] [1 1 1 1 ];10;674.1376167;1189.164389;515.0267723;5;13;[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 0 2 ];16;1189.181068;1549.114613;359.933545;4;11;[2 2 0 0 2 2 ] [3 3 3 3 ];10;1549.131313;1615.52813;66.396817;1;3;[1 2 2 2 ] [3 3 3 3 ];8;1615.544806;1734.58951;119.044704;1;7;[2 2 0 0 2 2 3 3 ] [1 1 1 1 3 3 ];14;1;1;1;1;1;0;1;1;1;1;1;1;65;1715.04026;60;26.84251757;7;5;2;3;3;INGENIERIA CIVIL INDUSTRIAL;5.8;5.2;4.8;5.3;1;1;6.1;3.64;5.4;4.2;A
180;*;*;*;*;57.65028467;91.51981867;33.869534;1;1;[3 3 3 0 ] [2 2 1 ];7;91.55312167;142.8110007;51.25787903;1;6;[2 3 3 3 3 3 0 0 ] [1 1 0 1 ];12;142.8281127;371.191706;228.3635933;6;25;[0 3 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ];16;371.208559;421.690795;50.482236;1;3;[2 2 0 0 2 2 ] [3 3 3 3 ];10;421.7241283;452.4254907;30.7013624;1;2;[1 2 2 2 2 2 ] [3 3 ];8;452.4421287;494.093491;41.6513623;1;4;[2 2 0 0 ] [1 1 1 1 3 3 ];10;1;0;1;1;1;1;1;1;1;1;1;1;63;436.325967;41;13.02194068;7;5;2;3;3;INGENIERIA CIVIL INDUSTRIAL;5;4.2;5.8;5;1;1;7;3.6;6;4.3;A
197;*;*;*;*;44.58986667;337.5364983;292.9466316;15;129;[2 3 3 3 3 3 2 2 2 0 0 ] [2 2 1 1 2 2 2 3 1 3 3 3 2 2 2 0 0 0 ];29;337.5531693;441.9343893;104.38122;1;32;[3 2 2 3 3 3 3 3 0 0 0 1 1 1 0 0 2 2 2 2 2 ] [1 1 2 2 2 2 2 2 ];29;441.9509403;539.0392427;97.0883024;1;30;[3 3 3 3 3 3 3 3 0 0 0 0 0 0 2 2 2 2 1 2 1 ] [0 0 0 3 0 0 2 2 2 3 2 2 ];33;539.0558957;637.359843;98.3039473;1;29;[2 2 2 2 0 0 2 0 1 2 2 2 ] [3 3 3 3 1 1 3 2 0 3 1 0 0 2 2 2 2 ];29;637.376579;858.8596283;221.4830493;2;61;[1 1 1 2 2 2 2 2 2 2 ] [1 1 3 0 2 2 2 1 1 ];19;858.8762853;2307.641202;1448.764917;18;342;[0 0 0 0 2 2 2 3 3 3 1 1 1 1 2 2 0 1 3 3 0 0 2 2 2 2 2 ] [1 1 3 2 1 1 1 1 3 2 2 ];38;0;0;0;0;0;0;0;0;0;0;0;0;177;2262.968067;623;84.47233108;7;4;2;3;3;INGENIERIA CIVIL INDUSTRIAL;5;5.6;6;5.5;1;1;7;3.86;5.4;4.3;A
208;*;*;*;*;10.62158467;38.98667133;28.36508666;1;1;[3 3 3 3 0 0 3 3 3 ] [];9;39.01865233;105.9319863;66.91333397;2;3;[2 3 3 3 3 3 ] [1 1 1 1 ];10;105.9486973;177.4768773;71.52818;1;11;[3 3 3 3 3 3 3 3 0 0 0 0 0 0 2 2 2 2 ] [3 0 0 0 2 2 0 0 ];26;177.4928083;249.5732013;72.080393;2;13;[2 2 2 2 0 0 2 2 2 1 1 3 ] [1 1 3 3 ];16;249.5899253;294.4292363;44.839311;1;6;[1 1 1 2 2 2 2 2 2 2 ] [1 1 ];12;294.4459353;322.2393617;27.7934264;1;10;[2 2 0 0 2 2 0 0 ] [1 1 ];10;0;1;0;0;0;1;1;1;0;0;1;1;83;311.519731;44;15.18838287;10;6;5;2;2;INGENIERIA EN COMPUTACION E INFORMATICA;6.2;6.2;5.4;5.9;1;1;7;4.06;5;4.3;A
234;*;*;*;*;27.131148;73.19335933;46.06221133;1;2;[0 0 3 3 ] [2 1 2 2 0 ];9;73.21002333;177.9314307;104.7214074;2;6;[2 3 3 3 3 3 ] [1 1 1 1 ];10;177.9480227;301.7704413;123.8224186;1;5;[0 3 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ];16;301.8037747;364.1641047;62.36033;1;3;[2 2 0 0 2 2 ] [3 3 3 3 ];10;364.1807367;434.7407813;70.5600446;1;4;[1 2 2 2 3 2 ] [3 3 3 3 ];10;434.7579523;600.658372;165.9004197;3;10;[2 2 0 0 0 ] [1 1 1 1 3 3 0 ];12;0;1;1;1;0;0;1;1;1;1;1;1;67;573.4268316;30;14.30811671;8;6;3;3;3;INGENIERIA CIVIL INDUSTRIAL;5.2;4.7;4.2;4.7;5;1;7;4.05;5;4.3;A
282;*;*;*;*;58.24725467;100.228616;41.98136133;1;3;[3 3 3 0 3 0 ] [2 ];7;100.245414;216.823047;116.577633;2;9;[2 3 3 3 3 ] [1 1 1 1 2 ];10;216.839742;305.4188813;88.5791393;1;5;[3 0 0 0 0 0 2 0 1 ] [3 0 0 2 2 2 2 0 2 ];18;305.4355233;340.8671653;35.431642;1;2;[2 2 0 0 2 2 2 2 2 2 ] [];10;340.8838793;381.3485583;40.464679;1;2;[1 2 2 2 2 2 3 2 ] [3 3 ];10;381.3652573;427.5796683;46.214411;1;2;[2 2 0 ] [1 1 1 1 3 3 1 ];10;1;1;0;1;0;1;1;1;0;1;1;1;65;369.2488656;23;11.59050583;11;7;5;4;3;INGENIERIA CIVIL INDUSTRIAL;6.2;5.2;4.6;5.3;1;1;2.8;3.34;6.4;4.3;A
334;*;*;*;*;19.929708;71.90249967;51.97279167;1;5;[3 3 3 0 3 3 ] [1 1 0 ];9;71.91913467;116.8689153;44.94978063;1;6;[2 3 3 3 3 3 ] [1 1 1 1 ];10;116.8855673;308.8034173;191.91785;1;26;[0 3 0 0 0 0 2 2 0 3 1 1 1 ] [3 0 0 2 2 3 0 0 3 3 3 3 3 3 3 1 1 1 1 1 1 2 2 2 2 2 2 2 0 0 0 ];44;308.8367243;415.0494383;106.212714;1;7;[2 2 0 0 2 2 3 3 1 1 1 1 2 2 2 0 0 ] [1 1 3 3 3 ];22;415.0660673;471.4028537;56.3367864;1;4;[1 2 2 1 1 ] [1 1 3 3 3 3 3 ];12;471.4195027;505.4311157;34.011613;1;5;[2 2 0 0 ] [1 1 1 1 3 3 ];10;0;1;0;0;0;1;1;1;0;0;1;1;107;485.4015357;53;21.24172655;3;2;2;0;1;INGENIERIA CIVIL INDUSTRIAL;6;4.4;6.2;5.5;1;2.2;4.9;3.95;5.2;4.3;A
390;*;*;*;*;42.986132;92.50477433;49.51864233;1;8;[1 1 3 0 3 3 0 0 0 3 ] [2 ];11;92.52140633;174.6855263;82.16411997;1;30;[2 3 3 3 3 2 2 2 3 3 3 3 0 0 0 0 3 3 ] [1 1 1 0 0 0 0 3 3 0 0 ];29;174.7021903;216.7700477;42.0678574;1;30;[3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0 2 2 2 2 0 3 1 1 2 1 1 3 1 1 2 ] [];31;216.7867637;236.484138;19.6973743;1;12;[2 3 0 1 2 2 0 0 2 2 2 2 2 2 ] [];14;236.500846;255.329529;18.828683;1;12;[1 0 3 2 1 1 1 2 2 2 2 2 2 2 2 0 0 ] [];17;255.346135;271.6519963;16.3058613;1;10;[2 3 0 1 2 2 0 0 2 2 0 0 0 0 ] [];14;0;0;0;0;0;0;1;0;0;1;0;1;116;228.5825383;102;23.20026957;9;6;3;3;2;INGENIERIA CIVIL INDUSTRIAL;7;4.9;6;6;2.5;1;7;4.31;4.4;4.3;A
104;*;*;*;*;8.181430667;43.456583;35.27515233;1;2;[3 3 0 ] [1 2 2 2 ];7;43.473279;125.770717;82.297438;2;6;[2 3 3 3 3 ] [1 1 1 1 2 ];10;125.787401;250.2084073;124.4210063;1;6;[3 0 0 0 0 0 0 0 2 3 1 0 2 3 1 3 3 3 ] [3 0 0 2 ];22;250.2250573;371.0467877;120.8217304;1;7;[2 2 0 0 2 2 1 1 2 2 2 ] [1 1 3 1 1 1 1 ];18;371.0634997;533.3755437;162.312044;2;8;[1 2 2 1 0 1 1 1 1 1 ] [1 1 3 3 3 3 3 0 ];18;533.3923157;628.6532867;95.260971;2;5;[2 2 0 2 0 2 2 0 ] [1 1 1 ];11;1;1;0;0;0;0;1;1;0;0;0;1;86;620.388342;34;18.03379594;3;2;1;1;2;INGENIERIA EN COMPUTACION E INFORMATICA;6.5;1;3.7;3.7;6.2;1;3.7;3.41;6.6;4.4;A
