;source;target;weight
0;lt;sv4;True
1;lt;sv5;True
2;lt;sv6;True
3;op1;op5;True
4;op4;op1;True
5;op4;op5;True
6;op4;sv3;True
7;op5;op6;True
8;op5;sv3;True
9;op6;sv2;True
10;op6;sv3;True
11;sv1;op1;True
12;sv1;sv2;True
13;sv2;op2;True
14;sv3;op3;True
15;sv4;op1;True
16;sv4;op4;True
17;sv5;op5;True
18;sv5;sv3;True
19;sv5;sv6;True
20;sv5;score_a;True
21;sv6;op6;True
22;sv6;sv1;True
23;sv6;score_a;True
24;sv6;score_d;True
25;sv6;programa;True
26;score;op1;True
27;score;score_p;True
28;score_a;op1;True
29;score_a;sv3;True
30;score_a;score;True
31;score_a;score_p;True
32;score_a;score_d;True
33;score_p;op2;True
34;score_d;op1;True
35;score_d;score_s;True
36;score_s;sv2;True
37;sol1;estado;True
38;estado;op1;True
39;estado;op5;True
40;estado;op6;True
41;estado;sv3;True
42;estado;sv4;True
43;estado;score_a;True
44;estado;programa;True
