;source;target;weight
0;lt;op1;True
1;lt;sv3;True
2;lt;sv4;True
3;lt;sv5;True
4;lt;sv6;True
5;op2;op1;True
6;op2;op4;True
7;op4;op5;True
8;op6;op1;True
9;op6;op2;True
10;op6;op5;True
11;op6;sv2;True
12;sv1;sv2;True
13;sv1;score_d;True
14;sv2;op2;True
15;sv2;sv4;True
16;sv2;score_a;True
17;sv3;op2;True
18;sv3;op3;True
19;sv3;op5;True
20;sv3;score_a;True
21;sv3;estado;True
22;sv4;op4;True
23;sv5;op1;True
24;sv5;op2;True
25;sv5;op5;True
26;sv5;sv2;True
27;sv6;op2;True
28;sv6;op6;True
29;sv6;sv1;True
30;sv6;sv2;True
31;sv6;sv5;True
32;sv6;programa;True
33;score;score_p;True
34;score_a;op1;True
35;score_a;score;True
36;score_a;score_p;True
37;score_a;score_d;True
38;score_p;op2;True
39;score_d;score_s;True
40;programa;op1;True
41;programa;score_a;True
42;sol1;estado;True
43;estado;op1;True
44;estado;op2;True
45;estado;op5;True
46;estado;op6;True
47;estado;sv2;True
48;estado;sv4;True
49;estado;sv6;True
50;estado;score_a;True
51;estado;programa;True
