;source;target;weight
0;lt;sv4;True
1;lt;sv5;True
2;lt;sv6;True
3;op1;op5;True
4;op2;op1;True
5;op2;score_d;True
6;op4;op1;True
7;op4;op5;True
8;op5;sv3;True
9;op6;op5;True
10;op6;sv2;True
11;sv1;op1;True
12;sv1;sv2;True
13;sv1;score_d;True
14;sv2;op1;True
15;sv2;op2;True
16;sv2;sv4;True
17;sv2;score_d;True
18;sv3;op3;True
19;sv4;op4;True
20;sv4;score_d;True
21;sv5;game_score;True
22;sv5;op1;True
23;sv5;op2;True
24;sv5;op5;True
25;sv5;sv2;True
26;sv5;sv3;True
27;sv5;sv6;True
28;sv5;estado;True
29;sv6;op1;True
30;sv6;op2;True
31;sv6;op6;True
32;sv6;sv1;True
33;sv6;sv3;True
34;sv6;score;True
35;sv6;score_d;True
36;sv6;programa;True
37;score;score_a;True
38;score;score_p;True
39;score_a;op1;True
40;score_a;score_p;True
41;score_d;score;True
42;score_d;score_s;True
43;score_s;op1;True
44;score_s;score;True
45;sol1;estado;True
46;estado;op1;True
47;estado;op2;True
48;estado;op5;True
49;estado;op6;True
50;estado;sv6;True
51;estado;score_d;True
52;estado;programa;True
