;source;target;weight
0;lt;op1;True
1;lt;sv4;True
2;lt;sv5;True
3;lt;sv6;True
4;op1;op2;True
5;op3;sv2;True
6;op4;op2;True
7;op4;op5;True
8;op5;op6;True
9;op5;sv3;True
10;op6;op2;True
11;op6;sv2;True
12;sv1;op1;True
13;sv2;op1;True
14;sv2;op2;True
15;sv2;sv1;True
16;sv3;op3;True
17;sv4;op1;True
18;sv4;op4;True
19;sv5;op2;True
20;sv5;op5;True
21;sv5;sv3;True
22;sv5;sv4;True
23;sv6;op5;True
24;sv6;op6;True
25;sv6;sv5;True
26;sv6;score_d;True
27;sv6;programa;True
28;score;score_p;True
29;score_a;op1;True
30;score_a;sv3;True
31;score_a;score;True
32;score_a;score_d;True
33;score_d;score_p;True
34;score_d;score_s;True
35;programa;score_a;True
36;sol1;estado;True
37;estado;op1;True
38;estado;op2;True
39;estado;op5;True
40;estado;op6;True
41;estado;sv1;True
42;estado;sv4;True
43;estado;sv5;True
44;estado;score_a;True
45;estado;programa;True
