;source;target;weight
0;lt;tt;True
1;lt;op1;True
2;lt;op2;True
3;lt;op3;True
4;lt;op5;True
5;lt;sv2;True
6;lt;sv4;True
7;lt;sv5;True
8;lt;sv6;True
9;pt;game_score;True
10;game_score;lt;True
11;game_score;tt;True
12;op2;op1;True
13;op3;op2;True
14;op3;op5;True
15;op3;sv3;True
16;sv1;pt;True
17;sv1;op5;True
18;sv1;sv2;True
19;sv2;op1;True
20;sv2;op2;True
21;sv2;sv4;True
22;sv4;op4;True
23;sv5;programa;True
24;sv6;op6;True
25;score;score_p;True
26;score_a;score;True
27;score_a;score_d;True
28;score_d;score_p;True
29;score_d;score_s;True
30;estado;op1;True
31;estado;programa;True
32;estado;sol1;True
