;source;target;weight
0;lt;game_score;True
1;lt;op2;True
2;lt;op3;True
3;lt;op5;True
4;lt;sv4;True
5;lt;sv5;True
6;lt;sv6;True
7;game_score;tt;True
8;game_score;pt;True
9;game_score;op1;True
10;game_score;sv1;True
11;op1;op2;True
12;op3;op5;True
13;op3;sv3;True
14;op5;op4;True
15;sv1;op5;True
16;sv2;lt;True
17;sv2;op2;True
18;sv2;sv4;True
19;sv4;op4;True
20;sv5;sv6;True
21;sv6;op6;True
22;score;score_p;True
23;score_a;score;True
24;score_a;score_p;True
25;score_d;score_a;True
26;score_s;score_d;True
27;estado;programa;True
28;estado;sol1;True
